"season","week","offense_team","games_played","total_plays","pass_plays","run_plays","pass_rate","avg_yards_per_play","avg_yards_per_pass","avg_yards_per_run","avg_epa_per_play","avg_epa_pass","avg_epa_run","success_rate","explosive_play_rate","stuff_rate","sack_rate","turnovers_lost","turnover_rate","touchdowns","third_down_attempts","third_down_conversions","third_down_rate","red_zone_plays","red_zone_tds","red_zone_td_rate","two_min_plays","two_min_epa","plays_per_game","seconds_per_play","roll3_epa","roll3_success_rate","roll3_explosive_rate","roll3_third_down","roll3_red_zone_td","roll3_pace"
2025,1,"ARI",1,59,34,25,0.576271186440678,4.6271186440678,3.82352941176471,5.72,0.0373811746008302,0.0448470389958864,0.0272275990235536,0.406779661016949,0.101694915254237,0.338983050847458,0.147058823529412,0,0,2,13,6,0.461538461538462,9,2,0.222222222222222,3,0.653673667033824,59,NA,NA,NA,NA,NA,NA,NA
2025,2,"ARI",1,47,26,21,0.553191489361702,6.27659574468085,8.11538461538461,4,0.127011319699574,0.236144913792867,-0.00810646346355082,0.446808510638298,0.0851063829787234,0.25531914893617,0.0384615384615385,1,0.0212765957446809,2,9,3,0.333333333333333,10,2,0.2,6,0.738173627702054,47,NA,NA,NA,NA,NA,NA,NA
2025,3,"ARI",1,63,35,28,0.555555555555556,4.12698412698413,4.4,3.78571428571429,0.0274705540664832,0.0519602552069174,-0.0031415723590596,0.396825396825397,0.0317460317460317,0.301587301587302,0.0285714285714286,0,0,1,14,5,0.357142857142857,5,1,0.2,2,-0.584342357047717,63,NA,0.0639543494556291,0.416804522826881,0.0728491099929975,0.384004884004884,0.207407407407407,56.3333333333333
2025,4,"ARI",1,63,46,17,0.73015873015873,3.95238095238095,3.47826086956522,5.23529411764706,-0.102255266870002,-0.0987618290271361,-0.11170809868011,0.365079365079365,0.0317460317460317,0.365079365079365,0.130434782608696,2,0.0317460317460317,2,15,6,0.4,7,2,0.285714285714286,12,0.36358964437386,63,NA,0.0174088689653517,0.40290442418102,0.0495328154902623,0.363492063492063,0.228571428571429,57.6666666666667
2025,5,"ARI",1,62,34,28,0.548387096774194,5.7741935483871,5.64705882352941,5.92857142857143,-0.0412140019667981,0.0788466512561118,-0.187001938023189,0.387096774193548,0.112903225806452,0.274193548387097,0.0882352941176471,2,0.032258064516129,3,15,7,0.466666666666667,8,3,0.375,4,-0.328343870598474,62,NA,-0.0386662382567723,0.38300051203277,0.0587984297661717,0.407936507936508,0.286904761904762,62.6666666666667
2025,6,"ARI",1,69,46,23,0.666666666666667,5.73913043478261,6.78260869565217,3.65217391304348,0.101198903208959,0.136045528475053,0.0315056526767718,0.478260869565217,0.130434782608696,0.376811594202899,0.0434782608695652,1,0.0144927536231884,3,14,9,0.642857142857143,18,3,0.166666666666667,10,-0.354661140136886,69,NA,-0.014090121875947,0.41014566961271,0.0916946800537263,0.503174603174603,0.275793650793651,64.6666666666667
2025,1,"ATL",1,68,42,26,0.617647058823529,5.08823529411765,6.66666666666667,2.53846153846154,0.0379368608486533,0.182373416458917,-0.195383728983311,0.441176470588235,0.0588235294117647,0.367647058823529,0.0238095238095238,0,0,2,15,6,0.4,11,1,0.0909090909090909,12,0.15794049549629,68,NA,NA,NA,NA,NA,NA,NA
2025,2,"ATL",1,60,24,36,0.4,5.41666666666667,4.5,6.02777777777778,-0.0244442386954268,-0.39576580549887,0.223103472506868,0.45,0.133333333333333,0.25,0.125,1,0.0166666666666667,1,14,6,0.428571428571429,14,1,0.0714285714285714,5,-0.0490485776341433,60,NA,NA,NA,NA,NA,NA,NA
2025,3,"ATL",1,65,42,23,0.646153846153846,5.10769230769231,4.78571428571429,5.69565217391304,-0.242306362820191,-0.36231987986111,-0.0231512447454683,0.369230769230769,0.0769230769230769,0.338461538461538,0,2,0.0307692307692308,0,13,5,0.384615384615385,0,0,NA,8,-0.257234065124067,65,NA,-0.0762712468889881,0.420135746606335,0.089693313222725,0.404395604395604,NA,64.3333333333333
2025,4,"ATL",1,61,27,34,0.442622950819672,7.18032786885246,11.3703703703704,3.85294117647059,0.267325041699943,0.677321344415964,-0.0582602575157215,0.508196721311475,0.131147540983607,0.245901639344262,0.037037037037037,1,0.0163934426229508,4,11,6,0.545454545454545,11,4,0.363636363636364,3,-0.118898605908422,61,NA,0.000191480061441734,0.442475830180748,0.113801317080006,0.452880452880453,NA,62
2025,6,"ATL",1,65,34,31,0.523076923076923,6.83076923076923,6.85294117647059,6.80645161290323,0.0667959427191861,-0.0123314656132826,0.153580842180603,0.476923076923077,0.153846153846154,0.353846153846154,0.0588235294117647,0,0,3,12,5,0.416666666666667,9,1,0.111111111111111,12,-0.564949893670221,65,NA,0.0306048738663127,0.451450189155107,0.120638923917612,0.448912198912199,NA,63.6666666666667
2025,1,"BAL",1,50,21,29,0.42,8.64,9.23809523809524,8.20689655172414,0.385698698548134,0.418972408466034,0.361603943090344,0.5,0.3,0.26,0.0952380952380952,1,0.02,5,11,6,0.545454545454545,4,1,0.25,8,-0.366679890797166,50,NA,NA,NA,NA,NA,NA,NA
2025,2,"BAL",1,49,32,17,0.653061224489796,4.79591836734694,6.15625,2.23529411764706,0.0992771883837476,0.291959472695484,-0.263418876203051,0.387755102040816,0.0612244897959184,0.346938775510204,0.09375,0,0,4,11,3,0.272727272727273,9,2,0.222222222222222,3,-0.0652233597744877,49,NA,NA,NA,NA,NA,NA,NA
2025,3,"BAL",1,54,36,18,0.666666666666667,5.83333333333333,6.47222222222222,4.55555555555556,0.0502068841765621,0.293437840018688,-0.436255027507691,0.462962962962963,0.12962962962963,0.37037037037037,0.194444444444444,1,0.0185185185185185,4,11,6,0.545454545454545,11,2,0.181818181818182,13,0.140471331966611,54,NA,0.178394257036148,0.45023935500126,0.163618039808516,0.454545454545455,0.218013468013468,51
2025,4,"BAL",1,51,34,17,0.666666666666667,6.72549019607843,5.20588235294118,9.76470588235294,-0.0770783491497365,-0.343715729515241,0.456196411581272,0.450980392156863,0.137254901960784,0.313725490196078,0.0882352941176471,2,0.0392156862745098,2,10,3,0.3,6,1,0.166666666666667,7,-0.328975095060231,51,NA,0.0241352411368577,0.433899485720214,0.109369673795444,0.372727272727273,0.19023569023569,51.3333333333333
2025,5,"BAL",1,40,21,19,0.525,5.175,7.76190476190476,2.31578947368421,-0.335742803858894,-0.375950309139186,-0.29130292960173,0.375,0.05,0.3,0.0476190476190476,3,0.075,1,8,3,0.375,5,1,0.2,2,0.271357135658036,40,NA,-0.120871422944023,0.429647785039942,0.105628177196805,0.406818181818182,0.182828282828283,48.3333333333333
2025,6,"BAL",1,73,37,36,0.506849315068493,3.95890410958904,3.16216216216216,4.77777777777778,-0.329270453905449,-0.499164386130728,-0.154657245785024,0.397260273972603,0.0821917808219178,0.328767123287671,0.108108108108108,3,0.0410958904109589,0,17,7,0.411764705882353,11,0,0,12,-0.548356599014369,73,NA,-0.24736386897136,0.407746888709822,0.0898155609275674,0.362254901960784,0.122222222222222,54.6666666666667
2025,1,"BUF",1,77,49,28,0.636363636363636,6.51948051948052,7.93877551020408,4.03571428571429,0.234986576382388,0.291911434397524,0.1353680748559,0.493506493506494,0.116883116883117,0.324675324675325,0.0204081632653061,0,0,5,14,7,0.5,21,5,0.238095238095238,9,0.777821650111261,77,NA,NA,NA,NA,NA,NA,NA
2025,2,"BUF",1,63,26,37,0.412698412698413,5.71428571428571,6.88461538461539,4.89189189189189,0.148267390446039,0.155049035138816,0.143501910391655,0.46031746031746,0.0634920634920635,0.253968253968254,0.0384615384615385,0,0,3,12,4,0.333333333333333,13,2,0.153846153846154,4,0.138904114137404,63,NA,NA,NA,NA,NA,NA,NA
2025,3,"BUF",1,56,29,27,0.517857142857143,6.48214285714286,7.10344827586207,5.81481481481481,0.284754967119857,0.372102823833182,0.190936898798137,0.553571428571429,0.142857142857143,0.214285714285714,0.0344827586206897,0,0,4,11,6,0.545454545454545,12,4,0.333333333333333,4,-0.148961157956114,56,NA,0.222669644649428,0.502465127465127,0.107744107744108,0.45959595959596,0.241758241758242,65.3333333333333
2025,4,"BUF",1,53,25,28,0.471698113207547,6.73584905660377,7.64,5.92857142857143,0.193412265854043,0.196687391841633,0.190488046222267,0.471698113207547,0.150943396226415,0.245283018867925,0.12,1,0.0188679245283019,4,9,3,0.333333333333333,7,2,0.285714285714286,2,-0.0216555331426207,53,NA,0.20881154113998,0.495195667365479,0.119097534191874,0.404040404040404,0.257631257631258,57.3333333333333
2025,5,"BUF",1,59,31,28,0.525423728813559,5.91525423728814,7.32258064516129,4.35714285714286,-0.0137397511008784,0.123886700023929,-0.16611189341763,0.491525423728814,0.11864406779661,0.220338983050847,0.032258064516129,3,0.0508474576271186,2,9,5,0.555555555555556,13,2,0.153846153846154,1,-0.00966190782492049,59,NA,0.154809160624341,0.50559832183593,0.137481535626723,0.478114478114478,0.257631257631258,56
2025,6,"BUF",1,54,30,24,0.555555555555556,5.38888888888889,5.23333333333333,5.58333333333333,-0.118884553370191,-0.238928412553893,0.0311702706094366,0.462962962962963,0.0740740740740741,0.37037037037037,0.133333333333333,2,0.037037037037037,2,9,2,0.222222222222222,4,2,0.5,10,-0.401341974033858,54,NA,0.0202626537943246,0.475395499966441,0.114553846032366,0.37037037037037,0.313186813186813,55.3333333333333
2025,1,"CAR",1,60,36,24,0.6,4.26666666666667,3.94444444444444,4.75,-0.256379708421118,-0.427852488092826,0.000829461086444402,0.35,0.05,0.383333333333333,0.0277777777777778,3,0.05,1,15,8,0.533333333333333,4,0,0,9,-0.500735223293304,60,NA,NA,NA,NA,NA,NA,NA
2025,2,"CAR",1,77,57,20,0.74025974025974,4.58441558441558,5.31578947368421,2.5,0.00313935622863502,0.0859708394333437,-0.232930370904785,0.467532467532468,0.0649350649350649,0.376623376623377,0.0526315789473684,2,0.025974025974026,4,15,5,0.333333333333333,20,3,0.15,11,-0.455734056666684,77,NA,NA,NA,NA,NA,NA,NA
