"player_id","player_name","team","opponent","is_home","recent_avg","season_avg","opp_yards_allowed","projected_pass_yards","weather_impact_score","is_dome","headshot","team_color","team_color2","team_logo","jersey","position","experience"
"00-0026498","M.Stafford","LA","JAX",FALSE,315,280.666666666667,266.166666666667,320.75,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4","#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","9","QB",17
"00-0033077","D.Prescott","DAL","WAS",TRUE,272.333333333333,269.5,254,289.32,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn","#002244","#B0B7BC","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","4","QB",10
"00-0034855","B.Mayfield","TB","DET",FALSE,308,256.5,233.666666666667,268.62,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2uufyghiphx4oihgucm","#A71930","#322F2B","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","6","QB",8
"00-0036264","J.Love","GB","ARI",FALSE,259.666666666667,251.8,257.5,264.22,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp","#203731","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","10","QB",6
"00-0033873","P.Mahomes","KC","LV",TRUE,281.666666666667,252.333333333333,231.833333333333,262.83,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iireqbn32cpg9fn4sfy7","#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","15","QB",9
"00-0039732","B.Nix","DEN","NYG",TRUE,247.333333333333,212.833333333333,258,253.06,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea","#002244","#FB4F14","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","10","QB",2
"00-0039910","J.Daniels","WAS","DAL",FALSE,214,218.75,286.5,247.42,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrdweg39v1ay4zoc0lgp","#5A1414","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png","5","QB",2
"00-0036355","J.Herbert","LAC","IND",TRUE,211,248.833333333333,249,236.49,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk","#007BC7","#ffc20e","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","10","QB",6
"00-0039918","C.Williams","CHI","NO",TRUE,254,235.8,224.5,232.63,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt","#0B162A","#E64100","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","18","QB",2
"00-0033106","J.Goff","DET","TB",TRUE,209.666666666667,231.666666666667,253.333333333333,232.45,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor","#0076B6","#B0B7BC","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","16","QB",10
"00-0032950","C.Wentz","MIN","PHI",TRUE,253,253,216.166666666667,229.7,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ot6wu9gw3cgcdb2cx6is","#4F2683","#FFC62F","https://a.espncdn.com/i/teamlogos/nfl/500/min.png","11","QB",10
"00-0039163","C.Stroud","HOU","SEA",FALSE,227,215.2,257.833333333333,229.24,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7","#03202F","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","7","QB",3
"00-0034869","S.Darnold","SEA","HOU",TRUE,292.666666666667,256.833333333333,193.8,226.55,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild","#002244","#69be28","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png","14","QB",8
"00-0039851","D.Maye","NE","TEN",FALSE,245.666666666667,253.666666666667,221.5,220.5,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1","#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","10","QB",2
"00-0026158","J.Flacco","CIN","PIT",TRUE,181.666666666667,206.8,270.4,217.73,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx","#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png",NA,"QB",18
"00-0039917","M.Penix","ATL","SF",FALSE,245,233.6,222.5,213.99,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azvyjzp2sa8cnljbp3i7","#A71930","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","9","QB",2
"00-0023459","A.Rodgers","PIT","CIN",FALSE,191.333333333333,204.2,268.166666666667,210.76,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y","#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","8","QB",21
"00-0036972","M.Jones","SF","ATL",TRUE,324.333333333333,313,156.4,210.07,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v5sg1z9qvdpjeapblndz","#AA0000","#B3995D","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png","10","QB",5
"00-0036971","T.Lawrence","JAX","LA",TRUE,217.666666666667,220.666666666667,222.166666666667,204.22,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d75srntioly7fq0z8vip","#006778","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","16","QB",5
"00-0029263","R.Wilson","NYG","DEN",FALSE,259.333333333333,259.333333333333,196.333333333333,203.66,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vkstxj0evgkjiycu4glc","#0B2265","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","3","QB",14
"00-0035100","J.Browning","CIN","PIT",TRUE,172,189.25,270.4,203.17,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kzyh6yum2w3c6xrkndla","#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","6","QB",3
"00-0040676","C.Ward","TEN","NE",TRUE,198.333333333333,183.5,250.666666666667,202.56,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn","#002244","#4B92DB","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","1","QB",0
"00-0035710","D.Jones","IND","LAC",FALSE,228.666666666667,250.333333333333,192.333333333333,182.59,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nhuiypfjzpkisxllinyv","#002C5F","#a5acaf","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","17","QB",7
"00-0035228","K.Murray","ARI","GB",TRUE,193,192.4,221,178.92,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flezsremqighwuiyu77f","#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","1","QB",7
"00-0039376","S.Rattler","NO","CHI",FALSE,192.666666666667,202.833333333333,219.4,172.65,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uridusydmg6brwrmpmq6","#D3BC8D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/no.png","2","QB",2
"00-0036212","T.Tagovailoa","MIA","CLE",FALSE,212.666666666667,202.166666666667,198.666666666667,165.66,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ktqj3s5vofexl2dwrrp4","#008E97","#F58220","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","1","QB",6
"00-0036945","J.Fields","NYJ","CAR",TRUE,184.666666666667,159.8,219.833333333333,161.32,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fbteankooq2c33yquq2j","#003F2D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","7","QB",5
"00-0030565","G.Smith","LV","KC",FALSE,173,225,200.333333333333,155.3,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqy0933vz5yogwlefb1s","#000000","#A5ACAF","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png","7","QB",13
