"game_id","week","home_team","away_team","temp","wind","weather","has_weather","is_dome","is_cold","is_hot","is_windy","weather_impact_score"
"2025_01_ARI_NO",1,"NO","ARI",NA,NA,"Sunny Temp: 83° F, Humidity: 72%, Wind: NE 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_BAL_BUF",1,"BUF","BAL",58,8,"Partly cloudy Temp: 58° F, Humidity: 61%, Wind: SW 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_CAR_JAX",1,"JAX","CAR",85,3,"Temp: 85° F, Humidity: 71%, Wind: SW 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_CIN_CLE",1,"CLE","CIN",63,10,"Sunny Temp: 63° F, Humidity: 49%, Wind: NW 10 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_DAL_PHI",1,"PHI","DAL",75,11,"Rain Temp: 75° F, Humidity: 66%, Wind: S 11 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_DET_GB",1,"GB","DET",60,5,"Cloudy Temp: 60° F, Humidity: 76%, Wind: NW 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_HOU_LA",1,"LA","HOU",NA,NA,"Sunny Temp: 83° F, Humidity: 51%, Wind: SW 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_KC_LAC",1,"LAC","KC",NA,NA,"Temp: 62° F, Humidity: 80%, Wind: SE 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_LV_NE",1,"NE","LV",62,4,"Rain Temp: 64° F, Humidity: 86%, Wind: NE 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_MIA_IND",1,"IND","MIA",NA,NA,"Sunny Temp: 64° F, Humidity: 38%, Wind: NW 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_MIN_CHI",1,"CHI","MIN",68,6,"Clear Temp: 68° F, Humidity: 38%, Wind: SE 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
